source,target
44,102
44,101
102,101
121,33
30,121
17,48
30,33
30,48
93,40
44,103
33,48
17,83
101,103
41,95
48,83
30,17
85,121
33,83
33,40
3,91
30,40
121,40
83,60
30,83
17,33
48,19
85,68
93,9
33,105
93,121
102,103
49,118
7,57
0,96
52,114
33,112
93,97
65,12
85,93
111,36
85,38
49,64
3,119
91,119
30,73
30,3
17,73
93,13
45,123
92,119
7,6
6,57
49,17
91,92
98,20
119,109
30,18
51,34
102,118
3,92
111,2
49,83
87,108
2,4
120,95
33,21
17,21
102,106
111,90
107,109
21,48
17,81
121,81
100,107
49,33
17,111
65,125
30,117
96,94
96,95
103,99
99,124
117,101
103,105
109,124
118,112
123,112
125,119
107,114
106,98
100,122
121,105
108,110
119,122
123,122
96,118
116,123
111,117
117,107
115,108
111,122
121,108
37,19
2,11
85,40
117,123
19,110
7,62
22,30
30,111
37,80
52,83
93,109
105,112
30,85
6,62
121,9
19,80
30,70
17,19
57,62
4,11
85,9
70,113
85,13
5,27
22,85
118,64
22,51
117,48
85,70
121,70
121,0
50,113
111,83
96,107
22,17
40,19
22,106
22,121
61,81
22,93
70,50
93,0
121,26
44,48
121,17
85,26
121,52
111,81
61,0
9,40
81,56
93,61
85,111
30,0
17,52
40,26
30,81
30,93
49,93
121,111
13,109
52,81
30,2
9,28
93,26
30,52
49,121
111,70
22,9
9,97
93,38
85,45
93,45
52,61
61,111
17,2
121,15
30,21
22,48
97,28
96,75
85,83
40,0
52,2
93,15
93,28
117,0
9,26
17,20
22,37
30,49
121,45
93,52
61,77
2,83
30,15
40,61
85,61
121,61
85,15
30,87
40,38
93,47
49,85
81,2
93,21
22,49
30,61
49,52
85,17
22,45
26,113
49,40
52,111
93,81
9,70
17,61
22,81
49,45
93,70
93,111
17,0
121,2
49,81
93,68
15,70
44,19
121,21
22,40
22,52
30,45
121,47
85,52
61,96
93,17
93,19
22,26
22,73
22,117
93,33
40,97
49,61
61,117
70,83
80,110
117,96
52,0
49,2
22,21
111,21
22,111
40,111
85,47
90,58
96,58
85,81
85,87
87,96
0,81
30,9
22,33
30,96
33,61
37,110
40,47
40,81
44,117
49,111
121,87
61,21
21,81
22,87
33,47
37,48
40,45
49,47
85,48
0,21
52,21
45,26
26,70
40,28
40,52
45,81
87,75
81,83
33,0
111,0
93,2
17,40
17,47
97,19
22,61
30,47
85,33
45,61
49,87
97,50
75,58
87,58
93,101
121,113
0,15
49,0
22,2
102,19
21,47
22,70
85,28
33,52
81,36
68,38
40,101
47,48
52,48
22,0
0,107
61,2
30,4
8,80
9,47
40,15
49,21
22,44
22,47
22,65
22,102
33,45
33,117
45,47
61,47
47,97
85,125
97,101
121,97
0,70
21,2
9,118
22,15
17,70
17,87
121,19
45,21
85,21
121,28
30,37
33,111
121,38
111,47
61,48
102,48
121,51
70,81
85,79
121,83
0,2
70,2
17,37
40,21
22,125
30,26
49,26
30,66
33,44
61,37
44,50
45,52
101,48
49,65
49,70
49,113
51,106
65,62
73,81
117,81
85,97
121,101
121,117
37,2
85,2
48,7
9,38
9,45
17,15
21,70
21,73
30,113
33,81
121,36
52,37
121,37
52,87
55,53
85,65
121,73
93,79
2,48
37,8
45,15
17,65
22,19
26,97
33,73
37,73
97,38
45,117
47,81
117,47
93,48
49,125
52,65
52,73
61,73
61,83
87,83
85,101
93,117
