"Symbol","Description","Local Symbol","IPO Date","Category1","Category2","Category3","GICS Sector","ISIN","SEDOL","Market Cap","Currency","Actions"
"CT:SHOP","Shopify Inc","SHOP","05/21/2015","Global Equity","Common stocks","Developed markets ex-US","Information Technology","CA82509L1076","BX865C7","219,886,944,256","CAD","Analyze"
"CT:RY","Royal Bank of Canada","RY","01/02/1997","Global Equity","Common stocks","Developed markets ex-US","Financials","CA7800871021","2754383","184,814,682,112","CAD","Analyze"
"CT:TD","The Toronto-Dominion Bank","TD","01/12/1995","Global Equity","Common stocks","Developed markets ex-US","Financials","CA8911605092","2897222","155,573,600,256","CAD","Analyze"
"CT:BAM-A","Brookfield Asset Management Inc","BAM-A","12/31/1999","Global Equity","Common stocks","Developed markets ex-US","Financials","CA1125851040","2092599","110,726,365,184","CAD","Analyze"
"CT:ENB","Enbridge Inc","ENB","01/12/1995","Global Equity","Common stocks","Developed markets ex-US","Energy","CA29250N1050","2466149","106,554,974,208","CAD","Analyze"
"CT:CNR","Canadian National Railway Company","CNR","11/22/1996","Global Equity","Common stocks","Developed markets ex-US","Industrials","CA1363751027","2180632","104,792,113,152","CAD","Analyze"
"CT:BNS","The Bank of Nova Scotia","BNS","01/12/1995","Global Equity","Common stocks","Developed markets ex-US","Financials","CA0641491075","2076281","95,484,919,808","CAD","Analyze"
"CT:BMO","Bank of Montreal","BMO","01/12/1995","Global Equity","Common stocks","Developed markets ex-US","Financials","CA0636711016","2076009","84,096,802,816","CAD","Analyze"
"CT:TRI","Thomson Reuters Corporation","TRI","10/22/2008","Global Equity","Common stocks","Developed markets ex-US","Industrials","CA8849037095","BFXPTB0","71,814,103,040","CAD","Analyze"
"CT:CM","Canadian Imperial Bank of Commerce","CM","12/31/1999","Global Equity","Common stocks","Developed markets ex-US","Financials","CA1360691010","2170525","65,675,960,320","CAD","Analyze"
"CT:TRP","TransCanada Corporation","TRP","01/12/1995","Global Equity","Common stocks","Developed markets ex-US","Energy","CA89353D1078","2665184","63,507,734,528","CAD","Analyze"
"CT:CP","Canadian Pacific Railway Limited","CP","08/24/2001","Global Equity","Common stocks","Developed markets ex-US","Industrials","CA13645T1003","2793115","59,069,722,624","CAD","Analyze"
"CT:CNQ","Canadian Natural Resources Limited","CNQ","01/12/1995","Global Equity","Common stocks","Developed markets ex-US","Energy","CA1363851017","2171573","59,057,610,752","CAD","Analyze"
"CT:BCE","BCE Inc","BCE","05/06/1996","Global Equity","Common stocks","Developed markets ex-US","Communication Services","CA05534B7604","B188TH2","57,713,942,528","CAD","Analyze"
"CT:NGT","Newmont Goldcorp Corp","NGT","04/22/2019","Global Equity","Common stocks","Developed markets ex-US","Materials","US6516391066","BJYKTV2","56,130,572,288","CAD","Analyze"
"CT:ATD-B","Alimentation Couche-Tard Inc","ATD-B","12/31/1999","Global Equity","Common stocks","Developed markets ex-US","Consumer Staples","CA01626P4033","2011646","50,971,852,800","CAD","Analyze"
"CT:NTR","Nutrien Ltd","NTR","01/02/2018","Global Equity","Common stocks","Developed markets ex-US","Materials","CA67077M1086","BDRJLN0","50,648,649,728","CAD","Analyze"
"CT:MFC","Manulife Financial Corporation","MFC","09/30/1999","Global Equity","Common stocks","Developed markets ex-US","Financials","CA56501R1064","2492519","48,517,885,952","CAD","Analyze"
"CT:CSU","Constellation Software Inc","CSU","05/18/2006","Global Equity","Common stocks","Developed markets ex-US","Information Technology","CA21037X1006","B15C4L6","46,019,887,104","CAD","Analyze"
"CT:SU","Suncor Energy Inc","SU","12/31/1999","Global Equity","Common stocks","Developed markets ex-US","Energy","CA8672241079","B3NB1P2","43,391,934,464","CAD","Analyze"
