,Name,Title,Pay,Exercised,Year Born,Company Name,Yahoo Finance Code,Sector(s),Industry,Full Time Exployees,Company Address,Company Country,Company Phone,Company Website
0,Mr. Tobias  LÃ¼tke,"Founder, Chairman & CEO",104.72k,N/A,1981,Shopify Inc.,SHOP,Technology,Software—Application,"7,000","151 O'Connor Street Ground floor Ottawa, ON K2P 2L8",Canada,613 241 2828,http://www.shopify.com
1,Mr. Harley Michael Finkelstein,Pres,471.24k,N/A,1983,Shopify Inc.,SHOP,Technology,Software—Application,"7,000","151 O'Connor Street Ground floor Ottawa, ON K2P 2L8",Canada,613 241 2828,http://www.shopify.com
2,Ms. Amy E. Shapero,Chief Financial Officer,589.05k,N/A,1963,Shopify Inc.,SHOP,Technology,Software—Application,"7,000","151 O'Connor Street Ground floor Ottawa, ON K2P 2L8",Canada,613 241 2828,http://www.shopify.com
3,Mr. Toby  Shannan,Chief Operating Officer,1.46M,N/A,1970,Shopify Inc.,SHOP,Technology,Software—Application,"7,000","151 O'Connor Street Ground floor Ottawa, ON K2P 2L8",Canada,613 241 2828,http://www.shopify.com
4,Mr. Jean-Michel  Lemieux,Chief Technology Officer,549.78k,N/A,1973,Shopify Inc.,SHOP,Technology,Software—Application,"7,000","151 O'Connor Street Ground floor Ottawa, ON K2P 2L8",Canada,613 241 2828,http://www.shopify.com
5,Katie  Keita,Sr. Director of Investor Relations,N/A,N/A,N/A,Shopify Inc.,SHOP,Technology,Software—Application,"7,000","151 O'Connor Street Ground floor Ottawa, ON K2P 2L8",Canada,613 241 2828,http://www.shopify.com
6,Mr. Joseph A. Frasca,Chief Legal Officer & Sec.,N/A,N/A,1974,Shopify Inc.,SHOP,Technology,Software—Application,"7,000","151 O'Connor Street Ground floor Ottawa, ON K2P 2L8",Canada,613 241 2828,http://www.shopify.com
7,Ms. Brittany  Forsyth,Chief Talent Officer,N/A,N/A,1987,Shopify Inc.,SHOP,Technology,Software—Application,"7,000","151 O'Connor Street Ground floor Ottawa, ON K2P 2L8",Canada,613 241 2828,http://www.shopify.com
8,Mr. Loren  Padelford,GM & VP of Shopify Plus,N/A,N/A,N/A,Shopify Inc.,SHOP,Technology,Software—Application,"7,000","151 O'Connor Street Ground floor Ottawa, ON K2P 2L8",Canada,613 241 2828,http://www.shopify.com
9,Mr. Arpan  Podduturi,Director of Product,N/A,N/A,N/A,Shopify Inc.,SHOP,Technology,Software—Application,"7,000","151 O'Connor Street Ground floor Ottawa, ON K2P 2L8",Canada,613 241 2828,http://www.shopify.com
10,Mr. David I. McKay A.C.A.,"Pres, CEO & Director",2.39M,N/A,1963,Royal Bank of Canada,RY,Financial Services,Banks—Diversified,"85,887","Royal Bank Plaza 200 Bay Street Toronto, ON M5J 2J5",Canada,N/A,http://www.rbc.com
11,Mr. Rod  Bolger,Chief Financial Officer,1M,N/A,N/A,Royal Bank of Canada,RY,Financial Services,Banks—Diversified,"85,887","Royal Bank Plaza 200 Bay Street Toronto, ON M5J 2J5",Canada,N/A,http://www.rbc.com
12,Mr. Douglas Antony Guzman,"Group Head of Wealth Management, Insurance, Investor & Treasury Services",1.97M,N/A,N/A,Royal Bank of Canada,RY,Financial Services,Banks—Diversified,"85,887","Royal Bank Plaza 200 Bay Street Toronto, ON M5J 2J5",Canada,N/A,http://www.rbc.com
13,Mr. Neil  McLaughlin,Group Head of Personal & Commercial Banking,1.1M,N/A,N/A,Royal Bank of Canada,RY,Financial Services,Banks—Diversified,"85,887","Royal Bank Plaza 200 Bay Street Toronto, ON M5J 2J5",Canada,N/A,http://www.rbc.com
14,Mr. Derek  Neldner CFA,Group Head & CEO of RBC Capital Markets,2.69M,N/A,N/A,Royal Bank of Canada,RY,Financial Services,Banks—Diversified,"85,887","Royal Bank Plaza 200 Bay Street Toronto, ON M5J 2J5",Canada,N/A,http://www.rbc.com
15,Mr. Bruce  Ross,Group Head of Technology & Operations,N/A,N/A,N/A,Royal Bank of Canada,RY,Financial Services,Banks—Diversified,"85,887","Royal Bank Plaza 200 Bay Street Toronto, ON M5J 2J5",Canada,N/A,http://www.rbc.com
