,name_0,name_1,Search Amount
0,"""Mark J. Barrenechea""","""Patrick Dovigi""",1
1,"""Mark J. Barrenechea""","""Linda S. Hasenfratz""",16
2,"""Mark J. Barrenechea""","""Bradley S. Shaw""",12
3,"""Mark J. Barrenechea""","""Frank J. Hasenfratz""",1
4,"""Mark J. Barrenechea""","""Norman Murray Edwards""",0
5,"""Mark J. Barrenechea""","""Dennis Mark Bristow""",0
6,"""Mark J. Barrenechea""","""John Lawson Thornton""",0
7,"""Mark J. Barrenechea""","""Gerald Wilfred Schwartz""",0
8,"""Mark J. Barrenechea""","""Alain Bedard""",5
9,"""Mark J. Barrenechea""","""Alan Kestenbaum""",1
10,"""Mark J. Barrenechea""","""Jim Jarrell""",2
11,"""Mark J. Barrenechea""","""P. Jane Gavan""",7
12,"""Mark J. Barrenechea""","""Brian P. Hannasch""",0
13,"""Mark J. Barrenechea""","""Stephen John Hasker""",0
14,"""Mark J. Barrenechea""","""Dani Reiss""",19
15,"""Mark J. Barrenechea""","""Ajay Kumar Virmani""",0
16,"""Mark J. Barrenechea""","""Donald R. Lindsay""",27
17,"""Mark J. Barrenechea""","""Michael L. Rose""",3
18,"""Mark J. Barrenechea""","""Robert M. Le Blanc""",2
19,"""Mark J. Barrenechea""","""Rocco Gori""",0
20,"""Mark J. Barrenechea""","""Keith E. Creel""",21
21,"""Mark J. Barrenechea""","""Sean Boyd""",18
22,"""Mark J. Barrenechea""","""Anthony Paul Makuch""",0
23,"""Mark J. Barrenechea""","""Paul Anthony Mahon""",0
24,"""Mark J. Barrenechea""","""Barry Sean McInerney""",0
25,"""Mark J. Barrenechea""","""Jose Boisjoli""",6
26,"""Mark J. Barrenechea""","""Timothy Shawn McKay""",0
27,"""Mark J. Barrenechea""","""Jean Gattuso""",0
28,"""Mark J. Barrenechea""","""Michael Bennett Medline""",0
29,"""Mark J. Barrenechea""","""Al Monaco""",41
30,"""Mark J. Barrenechea""","""Geoffrey T. Martin""",1
31,"""Mark J. Barrenechea""","""Robert Andrew Mionis""",0
32,"""Mark J. Barrenechea""","""Joseph C. Papa""",20
33,"""Mark J. Barrenechea""","""Peter J. Marrone""",0
34,"""Mark J. Barrenechea""","""Jamie Bennett Porteous""",0
35,"""Mark J. Barrenechea""","""Charles J. G. Brindamour""",9
36,"""Mark J. Barrenechea""","""Anthony Munk""",5
37,"""Mark J. Barrenechea""","""Jean-Guy Desjardins""",0
38,"""Mark J. Barrenechea""","""Jeffrey Robert Carney""",0
39,"""Mark J. Barrenechea""","""Francois Olivier""",34
40,"""Mark J. Barrenechea""","""Randall L. Crawford""",5
41,"""Mark J. Barrenechea""","""Kevin Andrew McCreadie""",0
42,"""Mark J. Barrenechea""","""Damon Murchison""",0
43,"""Mark J. Barrenechea""","""Alan Schwartz""",3
44,"""Mark J. Barrenechea""","""Neil Rossy""",6
45,"""Mark J. Barrenechea""","""Ann M. Fandozzi""",0
46,"""Mark J. Barrenechea""","""Glenn J. Chamandy""",9
47,"""Mark J. Barrenechea""","""John S. Chen""",13
48,"""Mark J. Barrenechea""","""Galen G. Weston""",19
49,"""Mark J. Barrenechea""","""Gary Berman""",3
50,"""Mark J. Barrenechea""","""Daniel Racine""",2
51,"""Mark J. Barrenechea""","""Michael H. McCain""",24
52,"""Mark J. Barrenechea""","""Peter F. Grosskopf""",0
53,"""Mark J. Barrenechea""","""David Eric Klein""",0
54,"""Mark J. Barrenechea""","""W. Whitney George""",0
55,"""Mark J. Barrenechea""","""Brian Johnston Porter""",0
56,"""Mark J. Barrenechea""","""Graham Patrick Shuttleworth""",0
57,"""Mark J. Barrenechea""","""William Darryl White""",0
58,"""Mark J. Barrenechea""","""Stephen Clarkson Peacher""",0
59,"""Mark J. Barrenechea""","""Derek Neldner""",0
60,"""Mark J. Barrenechea""","""Bharat B. Masrani""",42
61,"""Mark J. Barrenechea""","""Kevin J. Thomson""",0
62,"""Mark J. Barrenechea""","""David Gerard Hutchens""",0
63,"""Mark J. Barrenechea""","""Luc Mongeau""",0
64,"""Mark J. Barrenechea""","""Michael J. Cooper""",4
65,"""Mark J. Barrenechea""","""Steven R. Spaulding""",2
66,"""Mark J. Barrenechea""","""Navjeet Singh Dhillon""",0
67,"""Mark J. Barrenechea""","""Laurent Ferreira""",2
68,"""Mark J. Barrenechea""","""Photis Peter Pascali""",0
69,"""Mark J. Barrenechea""","""Mirko Bibic""",17
70,"""Mark J. Barrenechea""","""Scott Carlyle Balfour""",0
71,"""Mark J. Barrenechea""","""George Raymond Burns""",0
72,"""Mark J. Barrenechea""","""Randy V. J. Smallwood""",9
73,"""Mark J. Barrenechea""","""Timothy Michael Miller""",0
74,"""Mark J. Barrenechea""","""Eric Richer La Fleche""",0
75,"""Mark J. Barrenechea""","""Terrance Lloyd McKibbon""",0
76,"""Mark J. Barrenechea""","""Joseph M. Natale""",0
77,"""Mark J. Barrenechea""","""Michael Cammarata""",0
78,"""Mark J. Barrenechea""","""Claude Bigras""",1
79,"""Mark J. Barrenechea""","""Ewout R. Heersink""",0
80,"""Mark J. Barrenechea""","""L. Scott Thomson""",23
81,"""Mark J. Barrenechea""","""Pauline Dhillon""",0
82,"""Mark J. Barrenechea""","""David I. McKay""",12
83,"""Mark J. Barrenechea""","""Bradley William Corson""",0
84,"""Mark J. Barrenechea""","""Louis Vachon """,10
85,"""Mark J. Barrenechea""","""Jose E. Cil""",0
86,"""Mark J. Barrenechea""","""Nancy C. Southern""",9
87,"""Mark J. Barrenechea""","""Donald B. Kayne""",3
88,"""Mark J. Barrenechea""","""Peter Gerald Jan Kukielski""",0
89,"""Mark J. Barrenechea""","""Daniel Barclay""",0
90,"""Mark J. Barrenechea""","""Trevor English""",0
91,"""Mark J. Barrenechea""","""Zoran Stakic""",0
92,"""Mark J. Barrenechea""","""Alain Bouchard""",46
93,"""Mark J. Barrenechea""","""Frank Patrick D'Eramo""",0
94,"""Mark J. Barrenechea""","""Donald M. Jenkins""",0
95,"""Mark J. Barrenechea""","""Madhu Ranganathan""",2080
96,"""Mark J. Barrenechea""","""Richard Lord""",1
97,"""Mark J. Barrenechea""","""Anil Wadhwani""",0
98,"""Mark J. Barrenechea""","""Kevan S. Gorrie""",0
99,"""Mark J. Barrenechea""","""Ian L. Edwards""",5
100,"""Mark J. Barrenechea""","""Martin Schwartz""",4
101,"""Mark J. Barrenechea""","""Jeffrey Schwartz""",7
102,"""Mark J. Barrenechea""","""Jeff Segel""",2
103,"""Mark J. Barrenechea""","""Jay A. Forbes""",0
104,"""Mark J. Barrenechea""","""Thomas J. Appio""",0
105,"""Mark J. Barrenechea""","""Michael Steinmann""",3
106,"""Mark J. Barrenechea""","""Simon David Harrison""",18
107,"""Mark J. Barrenechea""","""Siegfried W. Kiefer""",0
108,"""Mark J. Barrenechea""","""Timothy Alexander Miller""",0
109,"""Mark J. Barrenechea""","""Christopher Allan Govan""",0
110,"""Mark J. Barrenechea""","""Victor G. Dodig""",20
111,"""Mark J. Barrenechea""","""Paul S. Herendeen""",0
112,"""Mark J. Barrenechea""","""Mark Kenney""",7
113,"""Mark J. Barrenechea""","""Geert Verellen""",0
114,"""Mark J. Barrenechea""","""Ian M. Fillinger""",3
115,"""Mark J. Barrenechea""","""Robert P. Wildeboer""",0
116,"""Mark J. Barrenechea""","""Worthing F. Jackman""",33
117,"""Mark J. Barrenechea""","""Richard Dufresne""",0
118,"""Mark J. Barrenechea""","""Paul McAleese""",0
119,"""Mark J. Barrenechea""","""Joseph D. Randell""",3
120,"""Mark J. Barrenechea""","""Marc Parent""",52
121,"""Mark J. Barrenechea""","""Stephen Elias Loukas""",0
122,"""Mark J. Barrenechea""","""Geoffrey Robillard""",0
123,"""Mark J. Barrenechea""","""Brian Tellef Vaasjo""",0
124,"""Mark J. Barrenechea""","""Thomas J. Hofstedter""",4
125,"""Patrick Dovigi""","""Linda S. Hasenfratz""",0
126,"""Patrick Dovigi""","""Bradley S. Shaw""",0
127,"""Patrick Dovigi""","""Frank J. Hasenfratz""",0
128,"""Patrick Dovigi""","""Norman Murray Edwards""",0
129,"""Patrick Dovigi""","""Dennis Mark Bristow""",0
130,"""Patrick Dovigi""","""John Lawson Thornton""",0
131,"""Patrick Dovigi""","""Gerald Wilfred Schwartz""",0
132,"""Patrick Dovigi""","""Alain Bedard""",7
133,"""Patrick Dovigi""","""Alan Kestenbaum""",0
134,"""Patrick Dovigi""","""Jim Jarrell""",0
135,"""Patrick Dovigi""","""P. Jane Gavan""",0
136,"""Patrick Dovigi""","""Brian P. Hannasch""",0
137,"""Patrick Dovigi""","""Stephen John Hasker""",0
138,"""Patrick Dovigi""","""Dani Reiss""",3
139,"""Patrick Dovigi""","""Ajay Kumar Virmani""",0
140,"""Patrick Dovigi""","""Donald R. Lindsay""",0
141,"""Patrick Dovigi""","""Michael L. Rose""",0
142,"""Patrick Dovigi""","""Robert M. Le Blanc""",0
143,"""Patrick Dovigi""","""Rocco Gori""",0
144,"""Patrick Dovigi""","""Keith E. Creel""",0
145,"""Patrick Dovigi""","""Sean Boyd""",2
146,"""Patrick Dovigi""","""Anthony Paul Makuch""",0
147,"""Patrick Dovigi""","""Paul Anthony Mahon""",0
148,"""Patrick Dovigi""","""Barry Sean McInerney""",0
149,"""Patrick Dovigi""","""Jose Boisjoli""",6
150,"""Patrick Dovigi""","""Timothy Shawn McKay""",0
151,"""Patrick Dovigi""","""Jean Gattuso""",2
152,"""Patrick Dovigi""","""Michael Bennett Medline""",0
153,"""Patrick Dovigi""","""Al Monaco""",4
154,"""Patrick Dovigi""","""Geoffrey T. Martin""",0
155,"""Patrick Dovigi""","""Robert Andrew Mionis""",0
156,"""Patrick Dovigi""","""Joseph C. Papa""",0
157,"""Patrick Dovigi""","""Peter J. Marrone""",0
158,"""Patrick Dovigi""","""Jamie Bennett Porteous""",0
159,"""Patrick Dovigi""","""Charles J. G. Brindamour""",0
160,"""Patrick Dovigi""","""Anthony Munk""",0
161,"""Patrick Dovigi""","""Jean-Guy Desjardins""",0
162,"""Patrick Dovigi""","""Jeffrey Robert Carney""",0
163,"""Patrick Dovigi""","""Francois Olivier""",2
164,"""Patrick Dovigi""","""Randall L. Crawford""",0
165,"""Patrick Dovigi""","""Kevin Andrew McCreadie""",0
166,"""Patrick Dovigi""","""Damon Murchison""",0
167,"""Patrick Dovigi""","""Alan Schwartz""",0
168,"""Patrick Dovigi""","""Neil Rossy""",7
169,"""Patrick Dovigi""","""Ann M. Fandozzi""",0
170,"""Patrick Dovigi""","""Glenn J. Chamandy""",0
171,"""Patrick Dovigi""","""John S. Chen""",0
172,"""Patrick Dovigi""","""Galen G. Weston""",2
173,"""Patrick Dovigi""","""Gary Berman""",1
174,"""Patrick Dovigi""","""Daniel Racine""",2
175,"""Patrick Dovigi""","""Michael H. McCain""",0
176,"""Patrick Dovigi""","""Peter F. Grosskopf""",0
177,"""Patrick Dovigi""","""David Eric Klein""",0
178,"""Patrick Dovigi""","""W. Whitney George""",0
179,"""Patrick Dovigi""","""Brian Johnston Porter""",0
180,"""Patrick Dovigi""","""Graham Patrick Shuttleworth""",0
181,"""Patrick Dovigi""","""William Darryl White""",0
182,"""Patrick Dovigi""","""Stephen Clarkson Peacher""",0
183,"""Patrick Dovigi""","""Derek Neldner""",0
184,"""Patrick Dovigi""","""Bharat B. Masrani""",0
185,"""Patrick Dovigi""","""Kevin J. Thomson""",0
186,"""Patrick Dovigi""","""David Gerard Hutchens""",0
187,"""Patrick Dovigi""","""Luc Mongeau""",0
188,"""Patrick Dovigi""","""Michael J. Cooper""",0
189,"""Patrick Dovigi""","""Steven R. Spaulding""",0
190,"""Patrick Dovigi""","""Navjeet Singh Dhillon""",0
191,"""Patrick Dovigi""","""Laurent Ferreira""",0
192,"""Patrick Dovigi""","""Photis Peter Pascali""",6
193,"""Patrick Dovigi""","""Mirko Bibic""",6
194,"""Patrick Dovigi""","""Scott Carlyle Balfour""",0
195,"""Patrick Dovigi""","""George Raymond Burns""",0
196,"""Patrick Dovigi""","""Randy V. J. Smallwood""",0
197,"""Patrick Dovigi""","""Timothy Michael Miller""",0
198,"""Patrick Dovigi""","""Eric Richer La Fleche""",0
199,"""Patrick Dovigi""","""Terrance Lloyd McKibbon""",0
200,"""Patrick Dovigi""","""Joseph M. Natale""",0
201,"""Patrick Dovigi""","""Michael Cammarata""",0
202,"""Patrick Dovigi""","""Claude Bigras""",0
203,"""Patrick Dovigi""","""Ewout R. Heersink""",0
204,"""Patrick Dovigi""","""L. Scott Thomson""",0
205,"""Patrick Dovigi""","""Pauline Dhillon""",0
206,"""Patrick Dovigi""","""David I. McKay""",0
207,"""Patrick Dovigi""","""Bradley William Corson""",0
208,"""Patrick Dovigi""","""Louis Vachon """,7
209,"""Patrick Dovigi""","""Jose E. Cil""",0
210,"""Patrick Dovigi""","""Nancy C. Southern""",0
211,"""Patrick Dovigi""","""Donald B. Kayne""",0
212,"""Patrick Dovigi""","""Peter Gerald Jan Kukielski""",0
213,"""Patrick Dovigi""","""Daniel Barclay""",0
214,"""Patrick Dovigi""","""Trevor English""",0
215,"""Patrick Dovigi""","""Zoran Stakic""",0
216,"""Patrick Dovigi""","""Alain Bouchard""",4
217,"""Patrick Dovigi""","""Frank Patrick D'Eramo""",0
218,"""Patrick Dovigi""","""Donald M. Jenkins""",0
219,"""Patrick Dovigi""","""Madhu Ranganathan""",1
220,"""Patrick Dovigi""","""Richard Lord""",0
221,"""Patrick Dovigi""","""Anil Wadhwani""",0
222,"""Patrick Dovigi""","""Kevan S. Gorrie""",0
223,"""Patrick Dovigi""","""Ian L. Edwards""",0
224,"""Patrick Dovigi""","""Martin Schwartz""",0
225,"""Patrick Dovigi""","""Jeffrey Schwartz""",0
226,"""Patrick Dovigi""","""Jeff Segel""",0
227,"""Patrick Dovigi""","""Jay A. Forbes""",0
228,"""Patrick Dovigi""","""Thomas J. Appio""",0
229,"""Patrick Dovigi""","""Michael Steinmann""",2
230,"""Patrick Dovigi""","""Simon David Harrison""",0
231,"""Patrick Dovigi""","""Siegfried W. Kiefer""",0
232,"""Patrick Dovigi""","""Timothy Alexander Miller""",0
233,"""Patrick Dovigi""","""Christopher Allan Govan""",0
234,"""Patrick Dovigi""","""Victor G. Dodig""",0
235,"""Patrick Dovigi""","""Paul S. Herendeen""",0
236,"""Patrick Dovigi""","""Mark Kenney""",2
237,"""Patrick Dovigi""","""Geert Verellen""",0
238,"""Patrick Dovigi""","""Ian M. Fillinger""",0
239,"""Patrick Dovigi""","""Robert P. Wildeboer""",0
240,"""Patrick Dovigi""","""Worthing F. Jackman""",13
241,"""Patrick Dovigi""","""Richard Dufresne""",3
242,"""Patrick Dovigi""","""Paul McAleese""",0
243,"""Patrick Dovigi""","""Joseph D. Randell""",0
244,"""Patrick Dovigi""","""Marc Parent""",5
245,"""Patrick Dovigi""","""Stephen Elias Loukas""",0
246,"""Patrick Dovigi""","""Geoffrey Robillard""",0
247,"""Patrick Dovigi""","""Brian Tellef Vaasjo""",0
